DATE,TEMPERATURE
10-08-1998,30.46
11-08-1998,29.19
12-08-1998,30.83
13-08-1998,28.33
14-08-1998,27.62
15-08-1998,28.36
16-08-1998,28.77
17-08-1998,27.89
18-08-1998,27.7
19-08-1998,29.23
20-08-1998,27.7
21-08-1998,27.98
22-08-1998,28.92
23-08-1998,28.26
24-08-1998,28.26
25-08-1998,29.23
26-08-1998,28.5
27-08-1998,27.46
28-08-1998,29
29-08-1998,29.26
30-08-1998,29.28
31-08-1998,29.13
01-09-1998,27.4
02-09-1998,28.25
03-09-1998,27.54
04-09-1998,27.84
05-09-1998,28.81
06-09-1998,27.24
07-09-1998,27.37
08-09-1998,27.65
09-09-1998,27.54
10-09-1998,26.65
11-09-1998,25.6
12-09-1998,26.88
13-09-1998,27.21
14-09-1998,27.5
15-09-1998,27.94
16-09-1998,28.9
17-09-1998,29.18
18-09-1998,28.13
19-09-1998,28.06
20-09-1998,28.09
21-09-1998,27.88
22-09-1998,28.08
23-09-1998,28.26
24-09-1998,28.24
25-09-1998,28.95
26-09-1998,29.08
27-09-1998,28.34
28-09-1998,27.18
29-09-1998,26.82
30-09-1998,26.37
01-10-1998,26.26
02-10-1998,26.48
03-10-1998,26.17
04-10-1998,26.63
05-10-1998,26.69
06-10-1998,27.83
07-10-1998,27.74
08-10-1998,28.2
09-10-1998,28.57
10-10-1998,28.19
11-10-1998,27.12
12-10-1998,27.2
13-10-1998,27.68
14-10-1998,27.92
15-10-1998,27.28
16-10-1998,27.4
17-10-1998,26.78
18-10-1998,27.34
19-10-1998,28.73
20-10-1998,28.03
21-10-1998,28.69
22-10-1998,25.47
23-10-1998,26.29
24-10-1998,26.83
25-10-1998,26.58
26-10-1998,24.93
27-10-1998,22.55
28-10-1998,22.1
29-10-1998,22.78
30-10-1998,22.99
31-10-1998,22.86
01-11-1998,23.65
02-11-1998,23.07
03-11-1998,22.52
04-11-1998,22.05
05-11-1998,22.92
06-11-1998,23.47
07-11-1998,23.77
08-11-1998,23.95
09-11-1998,24.41
10-11-1998,24.4
11-11-1998,23.71
12-11-1998,22.87
13-11-1998,21.34
14-11-1998,20.62
15-11-1998,21.31
16-11-1998,22.19
17-11-1998,21.71
18-11-1998,22.75
19-11-1998,24.5
20-11-1998,24.82
21-11-1998,24.61
22-11-1998,25.28
23-11-1998,25.04
24-11-1998,21.58
25-11-1998,18.61
26-11-1998,19.52
27-11-1998,18.58
28-11-1998,18.98
29-11-1998,17.96
30-11-1998,17.44
01-12-1998,17.18
02-12-1998,16.3
03-12-1998,15.87
04-12-1998,16.16
05-12-1998,16.2
06-12-1998,16.94
07-12-1998,18.15
08-12-1998,18.26
09-12-1998,17.65
10-12-1998,17.76
11-12-1998,18.4
12-12-1998,19.28
13-12-1998,18.64
14-12-1998,18.83
15-12-1998,17.55
16-12-1998,17.18
17-12-1998,15.93
18-12-1998,15.64
19-12-1998,15.45
20-12-1998,15.05
21-12-1998,15.02
22-12-1998,15.44
23-12-1998,15.46
24-12-1998,15.79
25-12-1998,15.4
26-12-1998,14.74
27-12-1998,13.76
28-12-1998,13.49
29-12-1998,14.96
30-12-1998,15.32
31-12-1998,15.73
01-01-1999,14.73
02-01-1999,13.98
03-01-1999,15.24
04-01-1999,15.21
05-01-1999,15.68
06-01-1999,15.8
07-01-1999,17.12
08-01-1999,17.39
09-01-1999,15.69
10-01-1999,14.4
11-01-1999,13.59
12-01-1999,14.44
13-01-1999,14.38
14-01-1999,14.34
15-01-1999,15.47
16-01-1999,14.39
17-01-1999,14.25
18-01-1999,14.62
19-01-1999,15.01
20-01-1999,16.08
21-01-1999,17.01
22-01-1999,17.31
23-01-1999,18.34
24-01-1999,18.7
25-01-1999,18.34
26-01-1999,16.29
27-01-1999,15.72
28-01-1999,16.83
29-01-1999,18.57
30-01-1999,16.27
31-01-1999,16.12
01-02-1999,16.9
02-02-1999,18.5
03-02-1999,20.65
04-02-1999,21.45
05-02-1999,20.54
06-02-1999,18.58
07-02-1999,17.69
08-02-1999,17.53
09-02-1999,19.95
10-02-1999,22.18
11-02-1999,23.34
12-02-1999,23.83
13-02-1999,23.22
14-02-1999,22.05
15-02-1999,21.92
16-02-1999,22.46
17-02-1999,22.33
18-02-1999,22.6
19-02-1999,22.9
20-02-1999,22.51
21-02-1999,22.24
22-02-1999,21.48
23-02-1999,22.98
24-02-1999,22.1
25-02-1999,23.64
26-02-1999,25.83
27-02-1999,24.78
28-02-1999,24.07
01-03-1999,22.06
02-03-1999,22.71
03-03-1999,24.1
04-03-1999,25.62
05-03-1999,26.3
06-03-1999,26.84
07-03-1999,27.62
08-03-1999,29.89
09-03-1999,30.76
10-03-1999,29.16
11-03-1999,28.48
12-03-1999,28.33
13-03-1999,26.2
14-03-1999,25.27
15-03-1999,25.07
16-03-1999,25.27
17-03-1999,26.37
18-03-1999,27.9
